name	type	taxonid	kingdom	phylum	class	order	family	genus	species
P00001_Orobanche californica	rRNA_5S	271221	Eukaryota	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Aphyllon	NA
P00002_Orobanche crenata	rRNA_5S	223102	Eukaryota	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Orobanche	NA
P00003_Orobanche purpurea	rRNA_5S	223125	Eukaryota	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Phelipanche	NA
P00004_Pyrus spinosa	rRNA_5S	1143245	Eukaryota	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Pyrus	NA
P00005_Eunotia naegelii	rRNA_5S	1458866	Eukaryota	Bacillariophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia	NA
P00006_Chlorella variabilis	rRNA_5S	554065	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorella	NA
P00007_Gossypium bickii	rRNA_5S	47622	Eukaryota	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	NA
P00008_Ginkgo biloba	rRNA_5S	3311	Eukaryota	Streptophyta	Ginkgoopsida	Ginkgoales	Ginkgoaceae	Ginkgo	NA
P00009_Paradoxia multiseta	rRNA_5S	249350	Eukaryota	Chlorophyta	Trebouxiophyceae	NA	Coccomyxaceae	Paradoxia	NA
P00010_Lepidium virginicum	rRNA_5S	59292	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Lepidium	NA
P00011_Populus tremula	rRNA_5S	113636	Eukaryota	Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	NA
P00012_Cyanidium caldarium	rRNA_5S	2771	Eukaryota	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Cyanidium	NA
P00013_Cerataulina daemon	rRNA_5S	1527800	Eukaryota	Bacillariophyta	Mediophyceae	Hemiaulales	Hemiaulaceae	Cerataulina	NA
P00014_Coscinodiscus radiatus	rRNA_5S	33642	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	Coscinodiscus	NA
P00015_Cylindrotheca closterium	rRNA_5S	2856	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	NA
P00016_Didymosphenia geminata	rRNA_5S	1115533	Eukaryota	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Didymosphenia	NA
P00017_Vaucheria litorea	rRNA_5S	109269	Eukaryota	NA	Xanthophyceae	Vaucheriales	Vaucheriaceae	Vaucheria	NA
P00018_Durinskia baltica	rRNA_5S	400756	Eukaryota	NA	Dinophyceae	Peridiniales	Kryptoperidiniaceae	Durinskia	NA
P00019_Euglena viridis	rRNA_5S	3040	Eukaryota	Euglenozoa	Euglenida	Euglenales	Euglenaceae	Euglena	NA
P00020_Fistulifera solaris	rRNA_5S	1519565	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Fistulifera	NA
P00021_Kryptoperidinium foliaceum	rRNA_5S	160619	Eukaryota	NA	Dinophyceae	Peridiniales	Kryptoperidiniaceae	Kryptoperidinium	NA
P00022_Lithodesmium undulatum	rRNA_5S	59812	Eukaryota	Bacillariophyta	Mediophyceae	Lithodesmiales	Lithodesmiaceae	Lithodesmium	NA
P00023_Phaeodactylum tricornutum	rRNA_5S	2850	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum	NA
P00024_Asterionella formosa	rRNA_5S	210441	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Asterionella	NA
P00025_Asterionellopsis glacialis	rRNA_5S	33640	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Asterionellopsis	NA
P00026_Chaetoceros simplex	rRNA_5S	156587	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	NA
P00027_Odontella sinensis	rRNA_5S	1514140	Eukaryota	Bacillariophyta	Mediophyceae	Triceratiales	Triceratiaceae	Trieres	NA
P00029_Thalassiosira pseudonana	rRNA_5S	35128	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	NA
P00030_Thalassiosira weissflogii	rRNA_5S	1577725	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Conticribra	NA
P00031_Acutodesmus obliquus	rRNA_5S	3088	Eukaryota	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	NA
P00032_Koliella corcontica	rRNA_5S	155904	Eukaryota	Chlorophyta	Trebouxiophyceae	Prasiolales	Koliellaceae	Koliella	NA
P00033_Adiantum capillus-veneris	rRNA_5S	13818	Eukaryota	Streptophyta	Polypodiopsida	Polypodiales	Pteridaceae	Adiantum	NA
P00034_Alsophila spinulosa	rRNA_5S	204586	Eukaryota	Streptophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Alsophila	NA
P00035_Diplopterygium glaucum	rRNA_5S	397682	Eukaryota	Streptophyta	Polypodiopsida	Gleicheniales	Gleicheniaceae	Diplopterygium	NA
P00036_Lygodium japonicum	rRNA_5S	13824	Eukaryota	Streptophyta	Polypodiopsida	Schizaeales	Lygodiaceae	Lygodium	NA
P00037_Marsilea crenata	rRNA_5S	388472	Eukaryota	Streptophyta	Polypodiopsida	Salviniales	Marsileaceae	Marsilea	NA
P00038_Myriopteris lindheimeri	rRNA_5S	531291	Eukaryota	Streptophyta	Polypodiopsida	Polypodiales	Pteridaceae	Myriopteris	NA
P00039_Osmundastrum cinnamomeum	rRNA_5S	3284	Eukaryota	Streptophyta	Polypodiopsida	Osmundales	Osmundaceae	Osmundastrum	NA
P00040_Emiliania huxleyi	rRNA_5S	2903	Eukaryota	Haptista	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	NA
P00041_Fusochloris perforata	rRNA_5S	106203	Eukaryota	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniaceae	Fusochloris	NA
P00042_Buxus microphylla	rRNA_5S	153571	Eukaryota	Streptophyta	Magnoliopsida	Buxales	Buxaceae	Buxus	NA
P00043_Capsella bursa-pastoris	rRNA_5S	3719	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Capsella	NA
P00044_Capsella rubella	rRNA_5S	81985	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Capsella	NA
P00045_Chaetosphaeridium globosum	rRNA_5S	96477	Eukaryota	Streptophyta	Coleochaetophyceae	Coleochaetales	Chaetosphaeridiaceae	Chaetosphaeridium	NA
P00046_Dictyochloropsis reticulata	rRNA_5S	40981	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Symbiochloris	NA
P00047_Elliptochloris bilobata	rRNA_5S	381761	Eukaryota	Chlorophyta	Trebouxiophyceae	NA	NA	Elliptochloris	NA
P00048_Epipogium roseum	rRNA_5S	556037	Eukaryota	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Epipogium	NA
P00050_Floydiella terrestris	rRNA_5S	51328	Eukaryota	Chlorophyta	Chlorophyceae	Chaetopeltidales	Chaetopeltidaceae	Floydiella	NA
P00051_Galdieria sulphuraria	rRNA_5S	130081	Eukaryota	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Galdieria	NA
P00052_Botryococcus braunii	rRNA_5S	38881	Eukaryota	Chlorophyta	Trebouxiophyceae	NA	NA	Botryococcus	NA
P00053_Chondrus crispus	rRNA_5S	2769	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Gigartinaceae	Chondrus	NA
P00054_Emiliania huxleyi	rRNA_5S	2903	Eukaryota	Haptista	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	NA
